id,time,x,y,scroll,press,release
1,1682983678.7090318,596.46484375,616.53515625,0,0,0
2,1682983678.709279,597.890625,613.67578125,0,0,0
3,1682983678.722073,600.28515625,609.67578125,0,0,0
4,1682983678.729975,604.1640625,603.8515625,0,0,0
5,1682983678.738846,609.015625,598.02734375,0,0,0
6,1682983678.746623,612.89453125,592.203125,0,0,0
7,1682983678.7547379,616.43359375,587.77734375,0,0,0
8,1682983678.766902,621.28515625,581.953125,0,0,0
9,1682983678.77777,624.82421875,577.52734375,0,0,0
10,1682983678.783624,629.67578125,572.671875,0,0,0
11,1682983678.7959108,630.9296875,570.78515625,0,0,0
12,1682983678.808022,635.3515625,567.2421875,0,0,0
13,1682983678.814142,637.74609375,564.04296875,0,0,0
14,1682983678.8144069,640.94140625,560.84375,0,0,0
15,1682983678.8145862,644.13671875,558.4453125,0,0,0
16,1682983678.825335,646.27734375,556.30078125,0,0,0
17,1682983678.833102,648.41796875,554.15625,0,0,0
18,1682983678.841752,650.30078125,552.8984375,0,0,0
19,1682983678.847073,651.5546875,551.01171875,0,0,0
20,1682983678.857028,652.80859375,549.125,0,0,0
21,1682983678.869547,653.89453125,548.03515625,0,0,0
22,1682983678.869715,655.1484375,546.1484375,0,0,0
23,1682983678.87962,655.69140625,545.05859375,0,0,0
24,1682983678.888551,656.31640625,543.171875,0,0,0
25,1682983678.9006238,656.859375,542.08203125,0,0,0
26,1682983678.9008179,657.9453125,540.9921875,0,0,0
27,1682983678.910572,658.48828125,539.90234375,0,0,0
28,1682983678.9228768,659.03125,538.8125,0,0,0
29,1682983678.928461,659.57421875,537.72265625,0,0,0
30,1682983678.9286559,660.1171875,536.6328125,0,0,0
31,1682983678.942882,661.203125,535.54296875,0,0,0
32,1682983678.9500642,661.74609375,534.453125,0,0,0
33,1682983678.957113,662.83203125,533.90625,0,0,0
34,1682983678.968093,663.375,532.81640625,0,0,0
35,1682983678.9741912,664.4609375,532.26953125,0,0,0
36,1682983678.9812312,665.546875,531.72265625,0,0,0
37,1682983678.990283,666.00390625,531.26171875,0,0,0
38,1682983678.997508,667.08984375,530.71484375,0,0,0
39,1682983679.006054,667.546875,530.71484375,0,0,0
40,1682983679.0131269,668.6328125,530.16796875,0,0,0
41,1682983679.025244,669.08984375,530.16796875,0,0,0
